,industry (SIC2007),preliminary and final figures,contents,month,value,change,change in pct
32,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M07,2787187.0,20556.0,0.7429975302091218
33,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M08,2827161.0,39974.0,1.4342058857191864
34,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M09,2840906.0,13745.0,0.4861767688504548
35,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M10,2863127.0,22221.0,0.7821800510118937
36,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M11,2885013.0,21886.0,0.7644089836042811
37,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2020M12,2893183.0,8170.0,0.2831876320834592
38,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M01,2885594.0,-7589.0,-0.2623062557743472
39,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M02,2862398.0,-23196.0,-0.8038552894135464
40,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M03,2862642.0,244.0,0.008524321215985786
41,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M04,2851320.0,-11322.0,-0.3955087642813826
42,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M05,2858644.0,7324.0,0.25686348778810597
43,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M06,2889653.0,31009.0,1.084745074937632
44,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M07,2935693.0,46040.0,1.5932708875425527
45,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M08,2954631.0,18938.0,0.6450947016598763
46,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M09,2975991.0,21360.0,0.7229329144654573
47,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M10,2994990.0,18999.0,0.6384091887374765
48,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M11,3010709.0,15719.0,0.5248431547350663
49,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2021M12,3015151.0,4442.0,0.14753999805361406
50,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M01,3022163.0,7012.0,0.23255883370352226
51,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M02,3016958.0,-5205.0,-0.17222763960779153
52,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M03,3036411.0,19453.0,0.6447885585414204
53,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M04,3046068.0,9657.0,0.3180399491373276
54,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M05,3054163.0,8095.0,0.26575243888187217
55,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M06,3063019.0,8856.0,0.2899648774476127
56,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M07,3064635.0,1616.0,0.05275840600400539
57,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M08,3069552.0,4917.0,0.16044325017499084
58,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M09,3085446.0,15894.0,0.5177954307338695
59,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M10,3084644.0,-802.0,-0.025993000687740686
60,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M11,3090097.0,5453.0,0.17677890868443846
61,All industries,Final figures,"Number of jobs (employments), seasonally adjusted",2022M12,3094303.0,4206.0,0.13611223207556922
