occupation,Sum all sectors,Private sector and public enterprises,Central government,Local government
Journalists,65590.0,66570.0,63060.0,
Kitchen helpers,37510.0,36960.0,42730.0,40830.0
Laundry machine operators,40050.0,39960.0,,40560.0
Lawyers,85880.0,90490.0,71590.0,78380.0
Legal professionals not elsewhere classified,79710.0,87050.0,64380.0,
Legislators,83170.0,67770.0,99080.0,87510.0
Librarians and related information professionals,52190.0,55150.0,52640.0,51400.0
Life science technicians (excluding medical),52440.0,54280.0,47370.0,
Management and organisation analysts,78100.0,79820.0,69250.0,57630.0
Managing directors and chief executives,106130.0,106010.0,127540.0,95900.0
"Mathematicians, actuaries and statisticians",67420.0,78430.0,58360.0,
Mechanical engineering technicians,66010.0,66170.0,58230.0,
Mechanical engineers,84600.0,85710.0,66240.0,
Medical and pathology laboratory technicians,54450.0,56910.0,53660.0,
Medical assistants,44250.0,44020.0,44420.0,44360.0
Medical imaging and therapeutic equipment technicians,55450.0,53610.0,55720.0,
Metal working machine tool setters and operators,47640.0,47550.0,,49100.0
Midwifery professionals,66760.0,,68660.0,61510.0
"Mining engineers, metallurgists and related professionals",99460.0,100490.0,78730.0,
Motor vehicle mechanics and repairers,46310.0,45500.0,62230.0,
"Musicians, singers and composers",60200.0,56990.0,63620.0,58160.0
Nurses,55200.0,58820.0,53490.0,55980.0
Nursing professionals,62260.0,63010.0,64740.0,57740.0
Odd job persons,44270.0,43710.0,46810.0,43050.0
Office supervisors,71930.0,73720.0,65150.0,67320.0
Other artistic and cultural associate professionals,56270.0,58160.0,54760.0,51960.0
Payroll clerks,55680.0,56260.0,,51160.0
Personal care workers in health services not elsewhere classified,43520.0,43450.0,44140.0,43430.0
Personnel and careers professionals,69290.0,72880.0,62830.0,60280.0
Pharmacists,63360.0,63280.0,64820.0,
Physical and engineering science technicians not elsewhere classified,69430.0,70910.0,60640.0,65080.0
Physicists and astronomers,74920.0,81070.0,65240.0,
Physiotherapists,52960.0,58530.0,52000.0,50480.0
Plumbers and pipe fitters,50830.0,50840.0,,50500.0
Policy administration professionals,61690.0,75220.0,59730.0,60590.0
Policy and planning managers,82680.0,86620.0,80990.0,83690.0
Primary school teachers,56710.0,54950.0,,56800.0
Production clerks,55370.0,55830.0,44370.0,
Professional services managers not elsewhere classified,90330.0,97030.0,81090.0,75930.0
Protective services workers not elsewhere classified,43320.0,42950.0,,43780.0
Psychologists,67360.0,73440.0,68430.0,62720.0
Public relations professionals,66470.0,69100.0,61370.0,58790.0
Refuse sorters,41880.0,41610.0,,42750.0
Regulatory government associate professionals not elsewhere classified,53180.0,56650.0,57330.0,50910.0
Religious associate professionals,50670.0,46560.0,,53450.0
Religious professionals,63390.0,52390.0,67830.0,57740.0
Research and development managers,100820.0,103510.0,88570.0,
Secondary education teachers,60450.0,60330.0,58460.0,60470.0
Security guards,44080.0,43150.0,52230.0,
Senior government officials,118640.0,87940.0,141020.0,105300.0
Senior officials of special-interest organisations,78870.0,79260.0,,70560.0
Ships¿ deck officers and pilots,78970.0,79140.0,77100.0,
Social educators,54810.0,52890.0,57440.0,54580.0
Social welfare managers,69150.0,69290.0,,66740.0
Social work and counselling professionals,54050.0,53710.0,58910.0,53330.0
Social work associate professionals,51180.0,50180.0,54690.0,51070.0
Software and applications developers and analysts not elsewhere classified,75280.0,76500.0,61030.0,60430.0
Special needs teachers,54810.0,53300.0,57210.0,54080.0
Specialist medical practitioners,106510.0,108830.0,106400.0,91200.0
"Sports, recreation and cultural centre managers",66150.0,65270.0,78860.0,64660.0
Steam engine and boiler operators,54300.0,55710.0,,53530.0
Stock clerks,48540.0,48550.0,47720.0,
"Supply, distribution and related managers",82960.0,83040.0,81730.0,
Systems administrators,69680.0,69840.0,68350.0,
Systems analysts,77240.0,79890.0,67200.0,60880.0
"Tailors, dressmakers, furriers and hatters",45690.0,41410.0,50210.0,
Teachers¿ aides,38420.0,38340.0,,38390.0
Teaching professionals not elsewhere classified,59880.0,60660.0,59610.0,50680.0
Telecommunications engineering technicians,52300.0,50920.0,66500.0,
Telecommunications engineers,79240.0,85930.0,68010.0,
Town and traffic planners,67870.0,70620.0,,63510.0
"Translators, interpreters and other linguists",53790.0,52720.0,60420.0,49510.0
Transport clerks,53550.0,52450.0,60530.0,49690.0
University and higher education teachers,62240.0,65680.0,61930.0,58460.0
Unspecified or unidentifiable occupations,53970.0,54040.0,,51560.0
Veterinarians,64580.0,64660.0,65030.0,
Vocational education teachers,55330.0,55330.0,,54510.0
