kjønn,alder,statistikkvariabel,måned,value
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2020M07,5.2
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2020M08,5.3
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2020M09,5.1
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2020M10,5.2
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2020M11,5.0
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2020M12,4.9
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2021M01,4.9
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2021M02,4.7
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2021M03,4.8
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2021M04,5.0
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2021M05,5.0
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2021M06,4.9
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2021M07,4.3
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2021M08,4.0
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2021M09,3.6
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2021M10,3.6
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2021M11,3.5
Begge kjønn,15-74 år,"Arbeidsledige i prosent av arbeidsstyrken (AKU), sesongjustert",2021M12,3.3
