REF_AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2000-2007,2010-2022
Storbritannia,4.088988,1.43605,2.203831,2.736366,1.336984,0.928483,1.88135,1.472339,-0.009484,-2.516554,2.599081,0.097273,-0.609593,0.45338,0.242011,1.60635,-0.60908,2.017333,0.174959,0.495071,1.87209,-0.714339,1.00807,,2.010548875,0.6640466153846153
Hellas,3.443101,4.077923,1.824333,4.436508,3.027005,-2.83194,4.298494,2.593757,-1.372076,-2.600211,-0.918714,-7.05592,-5.166473,-2.273352,-0.624582,3.594679,-4.142213,1.392516,-3.486312,1.96193,3.056729,-0.013209,1.2184,,2.6086476249999997,-0.9581939230769232
Ungarn,4.910935,5.766678,5.688891,3.609887,6.005208,6.458897,4.251266,2.483888,2.641948,-3.008448,1.281293,2.642952,-1.280601,0.780624,-1.165264,1.600599,-2.260166,3.055024,4.052637,4.173472,0.427947,3.840444,2.383275,,4.89695625,1.5024796923076924
Irland,5.526528,3.672659,5.198065,2.792038,4.324912,0.996176,1.692325,2.595809,-1.582381,6.639928,6.164023,3.116848,0.616479,-2.567744,5.333337,20.740249,-3.184872,4.920208,4.619507,2.25195,18.021045,8.037508,0.782022,,3.3498140000000003,5.2961969230769235
Island,2.890998,3.761517,1.91608,3.319452,6.803555,2.967859,2.568527,6.005911,-2.930459,6.397169,-1.027395,0.086141,0.144015,2.100473,-0.044785,1.680352,1.109382,0.814014,2.557395,3.085218,-1.549846,3.690233,0.23525,,3.779237375,0.9908036153846154
Israel,4.306505,2.228613,-1.082616,1.404358,3.670887,1.216824,2.97513,0.894325,-0.380819,-0.659237,2.771296,2.515022,-0.423903,1.774751,1.560895,0.144203,0.614375,1.69417,2.726637,3.189956,7.296681,2.2307,-0.853447,,1.9517532499999999,1.9416412307692306
Italia,2.871761,0.670605,-0.784174,-0.70863,0.838599,0.446789,-0.220154,-0.076009,-0.570202,-1.992054,2.273472,0.675089,-0.534536,0.794849,0.079548,0.059368,-0.307394,0.645094,-0.012384,0.496841,3.094986,-1.727997,-0.285147,,0.379848375,0.4039837692307691
Japan,2.892721,1.423018,1.84272,1.42531,2.403013,1.44919,0.161481,0.740868,-0.290545,-1.42147,3.091681,0.629424,1.094065,2.234727,0.177309,2.011117,0.100485,0.913891,0.613271,0.875456,-0.956963,1.563359,0.924453,,1.542290125,1.0209442307692307
Sør-Korea,,,,,,,,,,,,,1.452304,2.387703,2.276919,1.365735,2.78503,4.466672,3.820514,2.447202,3.191725,2.787824,0.102229,,,2.4621688181818184
Litauen,1.273357,11.548438,4.714991,9.174072,2.520249,6.726643,8.226663,7.138777,2.454148,-4.33956,5.687574,6.871664,2.038295,3.064882,1.928503,-0.787788,-1.005876,7.411901,2.144746,3.982173,6.053095,3.425018,-2.740798,,6.4153987500000005,2.9287222307692313
Luxembourg,1.206498,-1.771475,0.764431,0.731034,1.856139,0.993978,2.078312,2.65428,-4.828497,-0.201848,1.684153,-1.760898,-0.391339,1.829405,-0.248373,-0.768374,1.989921,-1.480395,-1.674128,-0.196111,3.235216,-0.026358,-1.350407,,1.064149625,0.06479323076923077
Latvia,9.177461,4.18376,7.323564,8.08198,10.04913,7.36412,6.636463,7.987829,-0.052675,2.664096,3.268384,0.183267,6.473773,0.050284,2.725329,4.418497,2.640295,4.223815,1.797174,2.540798,2.186342,7.887226,4.733112,,7.600538375,3.317561230769231
Mexico,,,,,,,2.251227,0.950292,-0.799767,-6.947197,3.431453,1.55615,2.435765,-0.553792,2.136412,-0.001084,-0.508531,0.321507,-0.880875,-2.468538,-1.152231,-2.69169,-0.41257,,1.6007595000000001,0.09322892307692307
Nederland,3.232099,1.010131,0.729895,1.320404,1.724666,2.387927,1.487344,0.893447,0.574105,-2.255694,2.065094,0.64084,-0.148846,0.759906,0.740464,0.982921,-0.155939,0.543902,-0.32107,-0.669236,0.145505,2.778039,0.378636,,1.598239125,0.5954012307692309
Norge,3.935407,3.706887,2.151668,3.246996,2.069496,1.104398,-0.65705,-1.799141,-2.959613,-0.081031,0.510847,-0.663829,0.8711,0.617128,0.800405,1.277707,0.669968,2.069655,-0.773981,-0.384407,0.903942,1.48501,-0.846899,,1.719832625,0.502818923076923
New Zealand,3.078879,1.889567,1.914812,1.896139,-0.420573,-0.23761,1.256332,3.943006,-3.197555,5.28247,-0.844196,1.894677,3.739262,-2.088107,-0.074769,2.318618,-0.916264,0.150956,2.039349,-0.612007,1.766615,2.458064,0.136438,,1.665069,0.7668181538461538
OECD,,,,,,,,,,,,,0.62795,1.132837,0.864613,1.215877,0.466091,1.619589,1.003366,1.145792,4.129525,-0.544951,-0.673996,,,0.9987902727272726
Polen,7.94636,3.455057,5.475922,4.43076,3.788428,1.589404,2.785288,2.602014,0.773593,3.235859,6.009723,4.716748,1.688481,1.109774,1.744839,2.435392,2.001142,4.883501,6.80421,4.762665,-1.250049,0.905519,5.595697,,4.009154125,3.185203230769231
Portugal,1.07147,1.065497,0.750284,0.407757,2.180991,1.13639,1.858932,1.568803,0.646783,-0.430837,3.052221,1.485041,0.977556,1.445783,-1.015515,-0.020748,0.06329,0.814091,-0.0937,1.515075,1.051069,1.335458,6.101816,,1.2550155,1.2854951538461539
Slovakia,3.218074,3.510397,7.189581,7.843854,2.83032,3.299509,5.983527,7.547392,2.155217,-2.863061,6.867001,1.564829,1.49218,2.419105,1.960463,3.453354,0.379876,2.257425,2.572239,2.16687,6.044079,4.657856,-2.415874,,5.177831750000001,2.5707233076923073
Slovenia,3.240788,3.490193,0.439374,3.0876,3.280005,6.75916,5.929375,4.293787,-0.136131,-6.310373,3.433142,3.629863,-0.572536,-0.978773,1.14416,0.557417,3.474614,3.762879,2.411742,1.148658,0.771549,2.757352,-1.452924,,3.8150352499999998,1.5451648461538463
Sverige,3.606701,0.792035,3.624219,3.781357,3.520094,2.841066,2.879992,0.287839,-1.76076,-1.408414,3.505091,0.810623,-0.478644,0.800225,1.140233,2.861543,-0.615055,0.890993,0.365558,2.282541,1.064197,3.526769,0.551214,,2.666662875,1.2850221538461541
Tyrkia,8.518336,-5.960742,6.717922,6.599642,9.138561,6.317675,4.700407,5.313557,-0.331874,-4.124464,2.519722,5.498641,2.094364,6.751075,-0.05414,4.082506,2.258194,4.752667,2.554887,3.86289,17.799393,-6.077962,-1.129867,,5.168169750000001,3.4547976923076926
USA,2.746826,2.209358,2.782345,3.032028,2.607369,2.088325,0.93396,1.421608,1.26931,3.204071,2.641173,0.058782,0.368728,0.702204,0.556522,0.93295,0.357381,1.112413,1.298315,1.351608,4.561411,1.3725,-1.605519,,2.2277273749999997,1.0544975384615385
